0	115
116	168
169	333
334	506
507	698
699	1061
1062	1124
1125	1262
1264	1393
1394	1507
1508	1567
1569	1730
1731	1774
1775	2005
2006	2113
2114	2214
2215	2278
2279	2427
2428	2500
2501	2565
2566	2620
2621	2653
2654	2698
2700	2834
2836	2958
2959	3098
3099	3307
3308	3392
3393	3600
3601	3831
3832	4040
4041	4168
4169	4302
4303	4424
4425	4633
4634	4756
4757	4808
4809	4975
4976	5114
5115	5324
5325	5381
5382	5688
5690	5946
5947	6062
6063	6307
6308	6491
6492	6537
6538	6704
6705	6843
6844	7021
7022	7099
7100	7215
7216	7451
