0	387
388	448
450	531
532	583
584	647
648	717
718	788
789	900
901	949
951	1148
1149	1232
1233	1465
1466	1621
1622	1937
1939	2157
2159	2346
2347	2670
2671	2820
2822	3082
3083	3330
3331	3605
3606	3796
3798	3845
3846	4058
4059	4104
4105	4180
4181	4314
4315	4463
4464	4605
4606	4733
4734	4752
4753	4760
4761	4827
4828	4857
4858	5054
5055	5215
5216	5268
5269	5320
5321	5369
5370	5484
5485	5547
5548	5733
5734	5804
5805	5959
5960	6036
6037	6069
6070	6234
6235	6268
6269	6406
6407	6563
6564	6695
6696	6749
6750	6776
6777	6946
6947	6966
6968	7295
7296	7305
7306	7478
7479	7553
7554	7688
7689	7730
7731	7844
7845	7860
7861	7918
7919	7933
7934	7962
7963	8098
8099	8162
8163	8248
8249	8341
8342	8370
8371	8424
